host response time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identify_verified,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,logP,minimum_minimum_nights,has_availability_no,availability_30,number_of_reviews,number_of_reviews_ltm,Year,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
1,1.00,0.99,2,1,1,2,1,1,1,35,1543,3.19,1,1,26,8,8,2023,4.63,5,4.75,4.63,4.38,4.63,4.63,1,1.67
1,1.00,0.99,1,1,4,2,1,1,1,38,1420,3.15,1,1,26,1,1,2023,5,5,5,5,5,5,5,1,0.56
2,1.00,0.76,1,1,1,2,1,1,1,10,580,2.76,3,1,26,3,3,2023,4.67,4.67,5,4.67,5,4.67,5,2,0.75
1,1.00,0.99,2,1,1,2,1,1,1,30,1561,3.19,1,1,26,12,12,2023,4.83,4.92,5,4.83,5,5,4.83,1,2.54
1,1.00,0.99,2,1,1,2,1,1,1,31,1604,3.21,1,1,26,4,4,2023,5,5,5,5,5,5,5,1,0.79
1,0.97,0.98,2,1,1,4,2,2,2,26,1580,3.20,30,1,26,1,1,2022,4,4,3,4,4,4,3,1,0.29
1,0.97,0.98,2,1,1,4,2,2,2,26,1580,3.20,30,1,26,1,1,2022,5,5,5,5,5,5,5,1,0.23
1,0.99,0.99,2,1,1,2,1,1,1,28,1023,3.01,28,1,26,1,1,2023,5,5,5,5,5,5,5,1,0.38
1,1.00,0.96,1,1,2,1,2,1,10,6,460,2.66,1,1,26,1,1,2022,5,5,5,5,5,5,5,1,0.23
1,0.99,0.97,2,1,1,2,1,1,1,26,1023,3.01,28,1,26,1,1,2023,5,5,5,5,5,5,5,1,0.68
1,1.00,0.99,1,1,1,5,2,2,2,6,2500,3.40,1,1,26,5,5,2023,4.8,5,4.4,5,5,5,4.8,1,1.03
1,1.00,1.00,1,1,1,6,2,2,2,43,10856,4.04,28,1,26,1,1,2022,5,5,5,5,5,5,5,1,0.21
1,1.00,0.89,2,1,1,3,1,1,1,25,1790,3.25,25,1,26,2,2,2023,5,5,5,5,5,4.5,5,1,0.71
1,1.00,0.71,2,1,1,2,1,1,2,47,1507,3.18,20,1,26,3,3,2023,5,5,5,5,5,5,5,2,0.82
1,1.00,0.99,1,1,1,2,1,1,1,24,1862,3.27,5,1,7,63,18,2023,4.97,4.95,4.85,4.85,4.94,5,4.94,2,1.34
2,1.00,1.00,2,1,4,2,2,1,1,24,1800,3.26,7,1,30,5,5,2023,4.8,4.8,4.8,3.8,5,5,4.4,2,1.26
1,1.00,1.00,2,1,4,4,2,2,2,27,2786,3.44,1,1,26,1,1,2023,5,5,5,5,5,5,5,1,0.59
1,1.00,1.00,1,1,1,3,1,1,1,49,1250,3.10,28,1,26,1,1,2023,5,5,5,5,5,4,5,1,0.63
2,0.92,0.84,2,1,4,2,1,1,1,23,1100,3.04,1,1,26,3,3,2023,5,5,5,4,5,4.67,5,2,1.1
1,1.00,1.00,2,1,4,3,1,1,1,52,736,2.87,1,1,26,2,2,2023,5,5,5,5,5,5,5,2,2
1,1.00,0.99,2,1,1,2,1,1,1,29,1543,3.19,1,1,26,5,5,2023,4.6,4.8,4.6,4.8,4.6,4.6,4.6,1,3.06
1,1.00,1.00,2,1,1,2,1,1,1,7,739,2.87,1,1,26,8,8,2023,4.63,4.88,4.38,5,5,4.63,4.63,1,3.38
1,0.98,1.00,2,1,1,2,1,1,1,27,700,2.85,2,1,26,1,1,2023,5,5,5,5,5,5,5,1,1
1,0.97,1.00,2,1,1,2,1,1,1,25,450,2.65,1,1,26,1,1,2023,4,3,3,5,5,3,3,2,0.5
1,1.00,0.78,2,1,4,2,1,1,1,5,990,3.00,1,1,26,4,4,2023,4.5,4.5,4.75,5,4.75,4.75,4.5,2,2.5
1,1.00,1.00,2,1,1,2,1,1,1,37,1700,3.23,3,1,26,3,3,2023,5,5,4.67,5,5,5,5,1,2.05
1,0.97,1.00,2,1,1,2,1,1,1,25,450,2.65,1,1,26,1,1,2023,5,5,5,4,4,5,5,2,1
1,0.97,1.00,2,1,1,2,1,1,1,25,450,2.65,1,1,26,1,1,2023,4,3,4,5,3,4,5,2,0.81
1,1.00,1.00,2,1,1,4,2,2,2,40,1880,3.27,1,1,27,1,1,2023,3,2,2,4,5,4,4,2,0.71
3,0.79,0.44,2,1,1,2,1,1,1,35,750,2.88,1,1,26,1,1,2023,5,5,5,5,5,5,5,2,1
1,1.00,0.98,2,1,4,2,1,1,2,25,979,2.99,1,1,26,2,2,2023,5,5,5,4.5,5,4.5,4.5,1,1.67
1,1.00,1.00,2,2,4,2,1,1,1,40,1000,3.00,1,1,26,1,1,2023,5,5,5,5,5,5,5,1,1
1,1.00,1.00,2,1,1,2,1,1,1,17,1100,3.04,1,1,26,2,2,2023,4,4.5,4.5,4.5,5,4,4.5,1,2
1,1.00,1.00,1,1,1,6,2,2,3,43,10585,4.02,1,1,26,3,3,2023,5,5,5,5,5,5,5,1,3
1,1.00,1.00,2,1,4,2,1,1,1,10,788,2.90,1,1,26,1,1,2023,5,5,5,4,5,5,5,2,1
1,1.00,0.98,2,1,1,2,2,1,1,30,1218,3.09,1,1,25,70,33,2023,4.36,4.46,4.53,4.66,4.51,4.66,4.4,2,2.84
1,0.90,1.00,2,2,4,2,2,1,1,23,1500,3.18,1,1,25,2,2,2023,4.5,5,5,5,5,5,4.5,1,0.61
2,1.00,0.77,1,1,1,3,1,1,1,55,827,2.92,1,1,25,10,9,2023,4.9,4.9,4.9,5,5,4.5,4.9,2,0.17
1,1.00,1.00,1,1,1,4,2,2,2,21,2500,3.40,2,1,25,39,0,2020,4.9,4.97,4.79,4.97,4.95,4.23,4.69,1,0.56
1,1.00,1.00,1,1,1,4,2,2,2,23,2570,3.41,2,1,25,35,7,2023,4.94,4.89,4.94,4.97,4.91,4.4,4.86,2,0.51
1,1.00,0.46,1,1,1,3,1,1,1,26,1428,3.15,2,1,25,23,5,2023,4.83,5,5,4.91,5,4.91,4.74,2,0.44
1,1.00,0.90,2,1,1,3,1,1,1,41,1190,3.08,1,1,25,31,5,2023,4.55,4.61,4.68,4.74,4.55,4.23,4.48,1,0.62
1,1.00,1.00,2,1,1,4,2,2,2,28,3637,3.56,30,1,25,52,16,2023,4.87,4.92,4.81,4.96,5,4.77,4.83,2,1.15
1,1.00,0.91,1,1,1,3,1,1,1,34,1676,3.22,2,1,25,48,16,2023,4.56,4.56,4.75,4.54,4.69,4.88,4.52,2,1.06
2,1.00,0.96,2,1,4,4,1,1,2,28,1690,3.23,1,1,25,12,8,2023,4.5,4.42,4.67,4.67,4.58,4.67,4.25,2,0.27
1,1.00,1.00,2,1,4,4,1,1,2,27,1000,3.00,2,1,25,7,2,2022,4.14,4.29,4.14,4.71,4.71,4.29,4.43,1,0.25
1,1.00,1.00,2,1,1,4,1,1,2,42,2126,3.33,1,1,25,52,40,2023,4.5,4.62,4.38,4.62,4.75,4.65,4.5,1,2.47
1,1.00,1.00,2,1,1,4,1,1,2,43,2594,3.41,1,1,25,36,31,2023,4.64,4.75,4.67,4.78,4.83,4.81,4.69,1,2.18
1,1.00,1.00,2,1,1,4,1,1,2,27,2880,3.46,1,1,25,45,38,2023,4.69,4.73,4.44,4.69,4.71,4.73,4.6,1,2.9
1,1.00,1.00,2,1,1,4,1,1,2,27,2162,3.33,1,1,25,30,27,2023,4.67,4.6,4.4,4.87,4.93,4.73,4.8,1,1.95
1,1.00,1.00,2,1,1,2,1,1,1,65,783,2.89,28,1,26,5,4,2023,5,5,4.8,5,5,5,5,1,0.38
1,1.00,1.00,1,1,1,8,3,3,3,68,5888,3.77,2,1,25,12,11,2022,4.83,4.83,4.75,5,4.92,4.83,4.75,1,0.78
1,1.00,1.00,2,1,1,3,1,1,2,26,2391,3.38,3,1,25,19,19,2023,4.74,4.84,4.74,4.68,4.79,4.79,4.63,1,2.94
1,1.00,1.00,1,1,1,6,3,2,2,68,4288,3.63,2,1,25,11,11,2023,4.73,4.82,4.73,4.82,4.91,4.36,4.73,1,1.77
1,1.00,1.00,2,1,1,2,1,1,1,21,2640,3.42,30,1,25,9,9,2023,5,5,4.89,5,5,5,4.89,2,1.76
1,1.00,1.00,2,1,1,3,1,1,2,26,2709,3.43,3,1,25,12,12,2023,4.58,4.67,4.67,4.33,4.75,4.75,4.58,1,3.19
1,1.00,1.00,2,1,1,2,1,1,1,28,1711,3.23,2,1,25,1,1,2023,4,4,1,1,3,3,4,1,1
1,1.00,1.00,2,1,1,4,1,2,2,14,1290,3.11,1,1,28,161,7,2023,4.83,4.88,4.88,4.91,4.94,4.74,4.79,2,2.26
1,0.98,1.00,2,1,1,4,1,1,1,26,936,2.97,2,1,25,38,8,2023,4.51,4.59,4.62,4.41,4.62,4.46,4.49,2,0.77
2,0.98,1.00,2,1,1,2,1,1,1,27,837,2.92,7,1,25,4,1,2022,4.5,4.75,4.75,4.5,4.75,4.5,5,1,0.09
1,0.97,1.00,2,1,1,6,2,2,2,31,2943,3.47,1,1,25,16,10,2023,4.56,4.63,4.5,4.63,4.69,4.63,4.63,2,0.51
1,0.97,1.00,2,1,1,4,1,1,1,32,1357,3.13,1,1,25,19,17,2023,4.63,4.42,4.47,4.47,4.63,4.68,4.58,2,1.47
1,1.00,0.97,2,1,1,2,1,1,2,26,1400,3.15,21,1,25,1,1,2023,5,5,5,5,5,4,4,2,1
1,1.00,1.00,2,1,4,4,2,2,2,15,1300,3.11,1,1,25,2,1,2023,5,5,5,5,4.5,5,5,2,0.04
2,1.00,0.57,2,1,1,2,1,1,1,23,899,2.95,30,1,25,5,2,2022,4.2,4.6,4.2,4.6,4.8,4.6,4.4,2,0.09
1,1.00,0.90,1,1,4,3,1,1,2,31,1347,3.13,1,1,25,133,19,2023,4.74,4.83,4.73,4.87,4.89,4.82,4.68,2,1.49
1,1.00,0.98,2,2,1,3,2,2,2,36,2918,3.47,14,1,25,126,3,2023,4.81,4.83,4.86,4.89,4.84,4.74,4.74,2,1.62
1,0.99,0.92,2,1,1,4,3,2,2,38,3555,3.55,1,1,25,12,4,2023,4.91,5,4.91,4.73,5,5,4.82,2,0.16
1,0.99,0.92,2,1,1,4,3,2,2,40,3555,3.55,1,1,25,11,1,2022,4.8,5,4.9,4.78,4.9,5,4.56,2,0.16
1,1.00,1.00,2,1,1,3,1,1,1,36,1400,3.15,3,1,25,21,5,2023,4.95,4.95,4.86,4.95,5,4.86,4.95,1,0.38
1,1.00,0.75,2,2,4,6,1,1,2,8,2229,3.35,1,1,25,13,1,2022,4.92,4.77,5,4.85,4.92,4.69,4.85,1,0.25
1,1.00,1.00,2,1,1,2,1,1,1,29,1643,3.22,2,1,25,53,17,2023,4.77,4.77,4.81,4.85,4.85,4.96,4.7,1,1
1,1.00,0.99,2,1,4,2,1,1,1,23,1500,3.18,2,1,25,10,4,2023,4.8,4.9,4.9,4.9,4.8,4.1,4.5,2,0.2
1,1.00,0.99,2,1,3,4,1,1,1,29,1000,3.00,1,1,25,83,5,2023,4.76,4.82,4.82,4.76,4.8,4.75,4.72,2,1.72
1,1.00,0.99,1,1,1,2,2,1,1,45,1508,3.18,1,1,25,9,6,2022,4.67,4.56,4.22,4.56,4.78,4.89,4.67,2,0.2
1,1.00,1.00,2,1,1,5,2,2,2,36,3414,3.53,1,1,25,63,17,2023,4.51,4.67,4.32,4.68,4.56,4.68,4.44,1,1.43
1,1.00,1.00,2,1,1,6,2,2,4,34,1943,3.29,1,1,25,27,7,2023,4.59,4.74,4.19,4.89,4.81,4.96,4.81,1,0.63
1,1.00,0.50,2,1,1,2,1,1,2,28,1390,3.14,2,1,25,4,0,2020,5,5,5,5,5,5,5,2,0.1
1,0.98,0.98,1,1,1,3,1,1,1,29,1800,3.26,29,1,25,8,7,2023,5,5,5,5,5,5,5,1,0.63
1,0.98,0.98,1,1,1,2,1,1,2,36,1571,3.20,29,1,25,4,3,2023,5,5,5,5,5,5,5,1,0.28
1,0.98,1.00,2,1,4,4,1,2,3,26,1200,3.08,2,1,25,11,11,2023,4.55,4.55,4.64,4.64,4.73,4.45,4.64,1,1.99
1,1.00,0.99,1,1,1,2,1,1,1,45,1643,3.22,2,1,25,4,4,2023,5,5,4.75,4.75,5,5,5,1,0.98
1,1.00,1.00,2,1,1,2,1,1,1,19,1600,3.20,2,1,25,1,1,2023,3,3,3,4,3,4,3,1,0.48
1,1.00,1.00,1,1,1,2,2,1,1,49,1300,3.11,7,1,25,2,2,2023,5,5,4.5,3.5,5,4.5,4.5,1,0.9
1,1.00,1.00,1,1,1,2,1,1,1,46,1650,3.22,2,1,25,6,6,2023,4.5,4.67,4.83,4.83,4.83,4.5,4.33,1,1.71
1,1.00,0.94,2,1,4,3,1,1,1,35,900,2.95,1,1,25,3,3,2023,4,4,4.67,4.67,4.67,4.33,3.33,1,0.88
1,0.98,0.60,2,1,1,3,1,1,1,22,916,2.96,1,1,25,7,7,2023,5,4.86,5,4.71,5,5,4.86,1,2.59
1,1.00,1.00,2,1,1,3,2,2,3,63,1190,3.08,6,1,25,10,7,2023,4.5,4.4,4.7,4.9,4.9,4.5,4.6,2,0.19
1,1.00,1.00,1,1,1,2,1,1,1,12,1100,3.04,28,1,25,1,1,2022,5,5,5,5,5,5,5,1,0.19
1,0.99,1.00,2,1,1,3,2,2,2,31,2026,3.31,4,1,25,13,13,2023,4.69,4.69,4.54,4.62,4.62,4.62,4.54,1,2.29
1,0.99,1.00,2,1,1,3,2,2,2,31,2015,3.30,4,1,25,5,5,2023,4.6,5,4.6,5,5,5,4.8,1,0.97
1,0.91,0.99,2,1,4,6,2,2,3,45,5000,3.70,1,1,25,2,2,2022,4,5,3.5,5,5,5,4,1,0.24
1,0.91,0.99,2,1,4,3,1,1,1,43,3000,3.48,1,1,25,128,128,2023,4.66,4.61,4.73,4.76,4.6,4.75,4.73,1,14.49
1,0.91,0.99,2,1,4,6,2,2,1,46,5000,3.70,1,1,25,1,1,2022,4,5,5,3,2,5,3,1,0.12
1,0.91,0.99,2,1,4,4,2,2,2,39,6500,3.81,1,1,25,1,1,2022,5,5,5,5,5,5,5,1,0.17
1,0.91,0.99,2,1,4,2,1,1,1,28,2114,3.33,1,1,25,8,8,2023,4.63,4.75,4.63,4.38,4.88,4.88,4.63,1,1.22
1,1.00,1.00,1,1,3,2,1,1,1,19,990,3.00,1,1,25,201,22,2023,4.9,4.93,4.92,4.97,4.95,4.54,4.88,1,2.55
1,1.00,1.00,2,1,1,12,6,4,7,29,3800,3.58,1,1,25,1,0,2021,5,5,5,5,5,5,5,1,0.06
1,0.91,0.94,2,1,1,2,1,1,1,38,568,2.75,2,1,29,59,13,2023,4.83,4.75,4.73,4.93,4.86,4.24,4.8,2,1.11
1,1.00,1.00,2,1,1,3,1,1,2,27,800,2.90,1,1,25,19,4,2023,4.32,4.53,4.37,4.89,4.63,4.74,4.47,2,0.39
1,1.00,1.00,1,1,1,2,1,1,2,47,816,2.91,14,1,25,16,5,2023,5,5,5,5,5,4.63,4.94,1,0.35
1,1.00,1.00,1,1,1,2,1,1,2,45,1000,3.00,30,1,26,4,3,2022,4.75,4.5,4,4.25,5,4.75,4.25,1,0.3
1,1.00,1.00,1,1,1,2,1,1,2,46,1000,3.00,30,1,26,7,5,2023,4.57,4.57,4.71,4.29,4.43,4.71,4.43,1,0.43
1,1.00,1.00,2,1,1,8,5,3,3,14,8000,3.90,3,1,25,1,1,2023,5,5,4,5,5,5,5,1,1
1,1.00,0.82,1,1,4,3,1,1,1,13,750,2.88,1,1,25,2,0,2020,3.5,5,3.5,5,5,4,5,1,0.04
1,0.95,1.00,2,1,2,4,2,1,1,21,524,2.72,1,1,30,5,3,2023,4.6,4.8,4.8,5,5,4.8,4.8,2,0.08
1,0.98,1.00,2,1,1,4,1,2,2,24,1800,3.26,2,1,27,49,24,2023,4.78,4.78,4.73,4.92,4.82,4.55,4.76,1,1.06
1,1.00,0.96,2,2,4,2,1,1,1,12,1450,3.16,1,1,25,1,0,2020,5,5,5,5,5,5,5,1,0.03
1,0.97,0.96,2,1,1,3,1,1,1,34,4403,3.64,2,1,25,1,1,2022,3,5,5,5,4,4,3,2,0.23
1,0.97,0.96,2,1,1,5,1,2,3,31,6307,3.80,2,1,25,1,1,2022,5,5,5,5,5,5,5,2,0.23
1,1.00,0.86,2,1,4,2,1,1,1,26,993,3.00,1,1,29,3,3,2023,5,5,5,5,5,5,5,2,0.84
1,1.00,0.99,1,1,1,2,1,1,1,15,1816,3.26,2,1,25,4,4,2023,5,5,5,5,5,5,5,1,1.52
1,1.00,0.99,1,1,1,2,1,1,1,16,1671,3.22,2,1,25,5,5,2023,4.8,4.8,4.8,4.8,4.8,4.8,4.8,1,1.33
1,0.75,1.00,2,1,4,2,1,1,2,23,790,2.90,2,1,25,3,2,2022,5,5,5,5,4.67,4.33,5,2,0.08
1,1.00,1.00,2,1,1,2,1,1,2,29,780,2.89,1,1,25,18,3,2023,4.72,4.78,4.72,4.78,4.78,4.67,4.72,1,0.38
1,1.00,0.99,2,1,1,2,1,1,1,30,700,2.85,28,1,25,7,1,2023,4.86,5,4.86,4.57,4.86,4.71,5,1,0.21
1,1.00,0.99,1,1,1,6,2,3,3,15,3857,3.59,1,1,25,10,10,2023,5,5,5,5,5,5,5,1,0.93
1,1.00,1.00,2,1,4,2,1,1,2,29,800,2.90,1,1,26,2,2,2023,5,5,5,5,5,5,5,1,0.22
1,1.00,0.94,2,1,1,3,2,1,1,28,1449,3.16,1,1,25,1,1,2023,5,5,5,5,5,5,5,1,1
1,1.00,1.00,1,1,1,7,3,3,4,38,2500,3.40,2,1,26,4,4,2023,5,5,5,5,4.75,4.5,5,1,0.5
1,1.00,0.89,2,1,4,2,1,1,1,22,964,2.98,1,1,25,30,6,2023,4.97,5,5,5,4.97,4.9,4.93,1,0.68
1,1.00,0.29,2,1,3,6,4,1,6,18,1819,3.26,1,1,25,6,1,2023,4.83,5,4.83,5,5,4.5,4.83,2,0.1
1,0.95,1.00,2,1,4,4,1,1,4,10,900,2.95,1,1,25,39,16,2023,4.72,4.67,4.54,4.69,4.9,4.69,4.82,1,0.96
1,1.00,0.99,2,1,1,4,1,2,2,32,1923,3.28,3,1,28,26,16,2023,4.62,4.46,4.54,4.58,4.69,4.46,4.42,1,0.67
1,1.00,1.00,2,1,2,2,2,1,1,43,507,2.71,1,1,25,13,13,2023,5,4.92,4.85,4.85,5,4.85,5,1,8.86
1,1.00,1.00,1,1,4,2,1,1,1,14,1139,3.06,1,1,25,6,2,2023,5,5,4.83,4.83,4.83,4.83,4.83,1,0.12
1,1.00,1.00,2,1,4,2,1,1,1,22,775,2.89,1,1,25,5,5,2023,5,4.6,4.6,4.6,4.8,5,4.8,1,2.24
1,1.00,1.00,1,1,1,2,1,1,1,37,1379,3.14,1,1,25,314,11,2023,4.67,4.74,4.62,4.89,4.88,4.66,4.75,1,2.95
1,1.00,0.99,1,1,4,2,1,1,1,21,800,2.90,1,1,25,168,7,2023,4.91,4.93,4.92,4.92,4.95,4.64,4.9,1,2.46
1,1.00,1.00,2,1,4,3,1,1,2,15,1221,3.09,1,1,26,8,4,2023,4.38,4.63,4.63,4.88,4.88,4.63,4.75,1,0.09
2,1.00,0.99,2,1,4,2,1,1,1,4,1118,3.05,1,1,25,17,0,2020,4.12,4.06,4.24,4.12,4.18,4.18,4.06,1,0.19
3,0.83,1.00,1,2,4,2,1,1,1,17,825,2.92,30,1,25,3,2,2023,5,5,5,5,5,5,5,2,0.06
1,1.00,0.96,2,1,1,5,1,1,1,27,750,2.88,2,1,29,45,12,2023,4.2,4.27,4.39,4.56,4.34,4.47,4.19,2,0.66
1,1.00,1.00,1,1,1,3,1,1,1,28,1000,3.00,3,1,25,49,6,2023,4.59,4.8,4.63,4.96,4.76,3.98,4.61,1,0.58
1,1.00,0.97,1,1,1,2,1,1,1,23,1300,3.11,30,1,25,102,1,2022,4.61,4.78,4.59,4.73,4.69,4.69,4.61,2,1.29
1,0.99,0.92,2,1,3,2,1,1,1,35,1180,3.07,1,1,25,11,3,2023,4.27,4.55,4.64,4.55,4.18,4.73,4.45,1,0.14
1,1.00,0.98,2,2,1,3,2,1,4,37,2718,3.43,10,1,25,39,1,2022,4.9,4.87,4.87,4.9,4.9,4.82,4.79,2,0.51
1,0.99,0.92,2,1,3,2,1,1,1,34,1180,3.07,1,1,25,64,8,2023,4.69,4.7,4.7,4.78,4.7,4.81,4.61,1,0.85
2,1.00,1.00,2,1,1,9,2,2,2,28,2600,3.41,1,1,25,20,6,2023,4.2,4.45,4.4,4.63,4.55,4.68,4.37,1,0.29
1,1.00,0.87,1,1,1,4,1,2,2,25,2500,3.40,2,1,25,36,4,2023,4.5,4.72,4.58,4.78,4.86,4.92,4.47,2,0.56
1,0.89,1.00,2,1,3,2,1,1,1,15,2343,3.37,1,1,25,4,2,2022,5,5,5,5,4.75,5,5,1,0.07
1,1.00,1.00,2,1,4,2,1,1,1,15,500,2.70,1,1,25,118,13,2023,4.66,4.76,4.76,4.85,4.91,4.23,4.76,1,1.78
1,1.00,1.00,2,1,4,3,1,1,3,12,961,2.98,1,1,25,121,16,2023,4.32,4.59,4.47,4.66,4.74,4.51,4.59,1,1.85
1,0.99,0.92,2,1,3,2,1,1,1,35,1180,3.07,1,1,25,8,4,2023,4.75,4.88,4.88,5,5,5,4.88,1,0.13
1,0.99,0.92,2,1,3,2,1,1,1,35,1180,3.07,1,1,25,11,6,2023,4.73,4.91,4.91,5,5,4.91,4.64,1,0.17
1,1.00,1.00,2,1,1,6,3,3,4,36,4112,3.61,1,1,25,71,5,2023,4.72,4.76,4.68,4.73,4.75,4.79,4.73,1,1.1
1,1.00,1.00,1,1,1,2,2,1,1,29,1077,3.03,25,1,25,46,3,2023,4.93,5,4.89,4.96,5,4.5,4.83,1,0.77
1,0.97,0.99,1,1,1,2,1,1,1,22,2174,3.34,1,1,25,76,0,2020,4.88,4.93,4.89,4.96,4.95,4.88,4.82,2,1.3
1,1.00,0.98,2,1,3,3,1,1,1,11,1440,3.16,1,1,25,12,11,2023,4.5,4.67,4.58,4.83,4.83,4.75,4.67,1,0.81
1,0.77,1.00,2,2,2,1,3,1,1,21,495,2.69,2,1,25,24,14,2023,4.58,4.71,4.46,4.5,4.58,4.88,4.5,1,0.47
1,1.00,0.99,1,1,1,2,2,1,2,33,693,2.84,28,1,25,7,4,2023,4.71,4.71,4.71,4.86,4.86,4.86,4.71,1,0.18
1,0.82,0.96,2,1,1,2,1,1,1,37,1380,3.14,29,1,25,39,7,2023,4.41,4.49,4.67,4.69,4.38,4.74,4.54,1,0.76
1,0.97,0.99,1,1,1,2,1,1,1,22,1885,3.28,1,1,25,47,3,2023,4.94,4.98,4.87,4.96,4.94,4.85,4.87,2,0.89
1,1.00,0.93,1,1,1,6,2,2,2,25,1782,3.25,2,1,25,9,1,2022,3.88,3.75,4.25,4.25,4,4,3.75,1,0.18
1,1.00,1.00,2,1,3,2,1,1,1,51,758,2.88,1,1,25,14,1,2022,4.93,4.93,5,4.93,4.93,4.79,4.86,2,0.31
1,1.00,0.99,2,1,1,2,1,1,1,30,700,2.85,28,1,25,29,0,2020,4.72,4.72,4.86,4.38,4.69,4.45,4.69,1,0.65
4,0.44,0.42,2,1,1,3,1,1,1,22,814,2.91,3,1,11,43,1,2022,4.74,4.79,4.55,4.95,4.98,4.36,4.74,2,0.57
4,0.00,0.00,2,1,4,2,3,1,1,29,814,2.91,1,1,0,70,0,2020,4.8,4.94,4.74,4.87,4.93,4.66,4.8,1,1.12
1,0.98,0.99,2,1,4,2,0,1,2,17,813,2.91,1,1,25,3,3,2022,5,5,5,5,5,4.67,5,1,0.31
1,1.00,0.97,1,1,4,2,1,1,1,29,733,2.87,2,1,25,1,1,2022,5,5,5,5,5,4,5,1,0.34
1,1.00,0.99,2,1,1,2,1,1,1,31,700,2.85,28,1,25,39,0,2021,4.95,4.87,4.9,4.64,4.97,4.59,4.9,1,0.88
1,1.00,0.99,2,1,1,2,1,1,1,29,700,2.85,28,1,25,15,0,2020,4.4,4.73,4.93,4.6,4.67,4.53,4.4,1,0.34
1,1.00,0.99,2,1,1,2,1,1,1,32,700,2.85,28,1,25,18,0,2020,4.72,4.67,4.83,4.28,4.72,4.5,4.67,1,0.41
1,1.00,0.99,2,1,1,2,1,1,1,31,700,2.85,28,1,25,18,0,2020,4.22,4.39,4.78,4.17,4.72,4.39,4.44,1,0.41
1,1.00,0.99,2,1,1,2,1,1,1,32,700,2.85,28,1,25,11,0,2020,4.64,5,5,4.73,5,4.55,4.73,1,0.25
1,1.00,0.99,2,1,1,2,1,1,1,31,700,2.85,28,1,25,7,0,2020,4.71,5,5,4.86,5,4.57,5,1,0.16
1,1.00,0.99,2,1,1,2,1,1,1,31,700,2.85,28,1,25,11,0,2020,5,4.91,5,4.91,5,4.73,4.91,1,0.26
1,0.97,0.99,1,1,1,2,1,1,1,23,1743,3.24,1,1,25,14,4,2023,4.43,4.5,4.36,4.64,4.57,4.5,4.29,2,0.32
1,1.00,0.99,2,1,1,2,1,1,1,32,700,2.85,28,1,25,24,0,2020,4.79,4.75,4.79,4.29,4.75,4.25,4.83,1,0.56
1,1.00,0.99,2,1,1,2,1,1,1,33,700,2.85,28,1,25,10,0,2021,5,5,5,4.8,5,4.9,5,1,0.24
1,1.00,0.99,2,1,1,2,1,1,1,32,700,2.85,28,1,25,26,0,2020,4.92,4.85,4.92,4.73,4.85,4.62,4.88,1,0.61
1,1.00,0.99,2,1,1,2,1,1,1,33,700,2.85,28,1,25,4,0,2020,4.5,4.25,5,4.75,5,4.5,5,1,0.1
1,1.00,1.00,2,1,1,2,2,1,1,28,745,2.87,30,1,25,4,0,2020,3.75,4,4.5,3.75,4,4,4,1,0.1
1,1.00,0.99,2,1,1,2,1,1,1,33,700,2.85,28,1,25,16,0,2020,4.75,4.94,4.94,4.56,4.75,4.81,4.88,1,0.4
1,1.00,0.99,2,1,1,2,1,1,1,32,700,2.85,28,1,25,2,0,2020,5,5,4.5,4.5,5,4.5,5,1,0.05
1,1.00,0.99,2,1,1,2,1,1,1,30,700,2.85,28,1,25,16,0,2020,4.81,4.88,4.94,4.75,5,4.81,4.75,1,0.4
1,1.00,0.99,2,1,1,2,1,1,1,31,700,2.85,28,1,25,8,0,2020,5,5,5,4.88,5,4.88,5,1,0.2
1,1.00,0.99,2,1,1,2,1,1,1,30,700,2.85,28,1,25,9,0,2020,5,5,5,5,5,4.89,5,1,0.22
1,1.00,0.99,2,1,1,2,1,1,1,31,700,2.85,28,1,25,3,0,2020,5,5,5,5,5,5,5,1,0.08
1,1.00,0.99,2,1,1,2,1,1,1,30,700,2.85,28,1,25,9,0,2020,5,5,5,4.78,4.89,4.78,5,1,0.23
1,1.00,0.99,2,1,1,2,1,1,1,30,700,2.85,28,1,25,1,0,2020,5,5,5,5,5,5,5,1,0.03
1,1.00,0.99,2,1,1,2,1,1,1,29,700,2.85,28,1,25,8,0,2020,4.75,5,5,4.75,5,4.5,4.63,1,0.2
1,1.00,0.99,2,1,1,2,1,1,1,23,700,2.85,28,1,25,8,0,2020,4.75,5,5,4.88,4.75,4.75,5,1,0.21
1,1.00,0.99,2,1,1,2,1,1,1,25,700,2.85,28,1,25,9,0,2020,4.89,5,4.78,4.78,4.89,4.67,4.78,1,0.23
1,1.00,0.95,2,1,4,4,2,2,2,44,3500,3.54,1,1,25,11,11,2022,4.73,4.82,4.73,4.73,4.64,4.91,4.73,1,1.09
1,1.00,0.95,2,1,4,4,2,2,2,46,3500,3.54,1,1,25,3,3,2023,5,5,4.67,5,5,5,5,1,0.38
1,1.00,0.99,2,1,1,2,1,1,1,30,700,2.85,28,1,25,2,0,2020,5,5,5,5,5,5,5,1,0.06
